movie_name,ranking,score,score_num
燃情岁月,201,8.8,208635
终结者2：审判日,202,8.7,242850
魂断蓝桥,203,8.8,191145
爱在午夜降临前,204,8.8,213157
穿越时空的少女,205,8.6,286039
初恋这件小事,206,8.4,736441
可可西里,207,8.8,201265
小偷家族,208,8.7,557661
绿里奇迹,209,8.8,182672
2001太空漫游,210,8.8,190700
完美陌生人,211,8.5,388073
牯岭街少年杀人事件,212,8.8,176035
无耻混蛋,213,8.6,341963
阿飞正传,214,8.5,343235
香水,215,8.5,407986
新龙门客栈,216,8.6,305800
源代码,217,8.4,587278
谍影重重2,218,8.6,252081
城市之光,219,9.3,83281
谍影重重,220,8.6,301423
猜火车,221,8.5,332540
青蛇,222,8.5,351886
战争之王,223,8.6,254309
地球上的星星,224,8.9,143325
血钻,225,8.6,242406
朗读者,226,8.6,361955
浪潮,227,8.7,196794
色，戒,228,8.4,458350
彗星来的那一夜,229,8.5,342137
遗愿清单,230,8.6,248879
疯狂的麦克斯4：狂暴之路,231,8.6,353823
大佛普拉斯,232,8.7,255560
步履不停,233,8.8,171569
小萝莉的猴神大叔,234,8.4,337241
再次出发之纽约遇见你,235,8.5,289627
聚焦,236,8.8,201462
追随,237,8.9,126449
东京物语,238,9.2,86909
驴得水,239,8.3,632841
一次别离,240,8.7,190502
黑鹰坠落,241,8.7,201190
千钧一发,242,8.8,163441
我爱你,243,9.0,103871
发条橙,244,8.5,272322
四个春天,245,8.9,111985
网络谜踪,246,8.6,364625
E.T. 外星人,247,8.6,248786
撞车,248,8.6,244184
变脸,249,8.5,309881
梦之安魂曲,250,8.7,160012
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1944072
霸王别姬,2,9.6,1432756
阿甘正传,3,9.5,1476056
这个杀手不太冷,4,9.4,1670761
美丽人生,5,9.5,933292
泰坦尼克号,6,9.4,1422448
千与千寻,7,9.3,1520360
辛德勒的名单,8,9.5,753593
盗梦空间,9,9.3,1418141
忠犬八公的故事,10,9.4,978221
海上钢琴师,11,9.3,1179645
机器人总动员,12,9.3,935738
三傻大闹宝莱坞,13,9.2,1306858
楚门的世界,14,9.3,1042239
放牛班的春天,15,9.3,909791
星际穿越,16,9.3,1051097
大话西游之大圣娶亲,17,9.2,1028779
熔炉,18,9.3,631397
疯狂动物城,19,9.2,1221673
无间道,20,9.2,838626
龙猫,21,9.2,876747
教父,22,9.3,641822
当幸福来敲门,23,9.1,1047155
怦然心动,24,9.1,1210507
触不可及,25,9.2,684124
蝙蝠侠：黑暗骑士,26,9.2,705205
控方证人,27,9.6,266275
活着,28,9.2,544417
乱世佳人,29,9.3,467836
寻梦环游记,30,9.1,1017442
末代皇帝,31,9.2,482818
摔跤吧！爸爸,32,9.0,1064601
少年派的奇幻漂流,33,9.1,995037
指环王3：王者无敌,34,9.2,515450
飞屋环游记,35,9.0,923080
何以为家,36,9.1,605845
十二怒汉,37,9.4,310778
鬼子来了,38,9.2,426844
天空之城,39,9.1,586244
大话西游之月光宝盒,40,9.0,826818
哈尔的移动城堡,41,9.0,670463
天堂电影院,42,9.2,464842
素媛,43,9.2,418602
罗马假日,44,9.0,676294
闻香识女人,45,9.1,587072
辩护人,46,9.2,418295
搏击俱乐部,47,9.0,614787
哈利·波特与魔法石,48,9.0,621046
死亡诗社,49,9.1,481374
我不是药神,50,9.0,1434732
教父2,51,9.2,353853
窃听风暴,52,9.1,396512
狮子王,53,9.0,545015
指环王2：双塔奇兵,54,9.1,472237
大闹天宫,55,9.3,256165
指环王1：魔戒再现,56,9.0,530922
两杆大烟枪,57,9.1,420755
美丽心灵,58,9.0,521824
飞越疯人院,59,9.1,419822
饮食男女,60,9.1,386958
V字仇杀队,61,8.9,737100
黑客帝国,62,9.0,531253
猫鼠游戏,63,9.0,534178
钢琴家,64,9.1,349629
本杰明·巴顿奇事,65,8.9,682302
看不见的客人,66,8.8,791719
让子弹飞,67,8.8,1108458
西西里的美丽传说,68,8.9,668067
海豚湾,69,9.3,277609
小鞋子,70,9.2,271540
拯救大兵瑞恩,71,9.0,440744
情书,72,8.9,627937
音乐之声,73,9.0,407977
美国往事,74,9.2,290386
穿条纹睡衣的男孩,75,9.1,333866
致命魔术,76,8.9,583436
绿皮书,77,8.9,1015572
七宗罪,78,8.8,680683
低俗小说,79,8.8,579864
沉默的羔羊,80,8.8,576995
蝴蝶效应,81,8.8,641808
被嫌弃的松子的一生,82,8.9,519033
海蒂和爷爷,83,9.2,235255
春光乍泄,84,8.9,431709
禁闭岛,85,8.8,639491
心灵捕手,86,8.9,478822
布达佩斯大饭店,87,8.8,605736
剪刀手爱德华,88,8.7,779058
阿凡达,89,8.7,921264
勇敢的心,90,8.9,433895
摩登时代,91,9.3,188668
天使爱美丽,92,8.7,747172
加勒比海盗,93,8.7,610155
喜剧之王,94,8.7,636248
致命ID,95,8.8,535935
断背山,96,8.8,517777
杀人回忆,97,8.8,440767
幽灵公主,98,8.9,380683
狩猎,99,9.1,236972
入殓师,100,8.8,440012
阳光灿烂的日子,101,8.8,436974
重庆森林,102,8.7,549149
请以你的名字呼唤我,103,8.9,419804
第六感,104,8.9,376106
哈利·波特与死亡圣器(下),105,8.8,504547
小森林 夏秋篇,106,9.0,281265
7号房的礼物,107,8.9,347909
消失的爱人,108,8.7,618460
红辣椒,109,9.0,262175
玛丽和马克思,110,8.9,322804
爱在黎明破晓前,111,8.8,400500
小森林 冬春篇,112,9.0,247449
侧耳倾听,113,8.9,309790
告白,114,8.7,522697
一一,115,9.0,241011
大鱼,116,8.8,404643
阳光姐妹淘,117,8.8,440441
唐伯虎点秋香,118,8.6,687299
蝙蝠侠：黑暗骑士崛起,119,8.8,492697
射雕英雄传之东成西就,120,8.7,450671
倩女幽魂,121,8.7,486909
超脱,122,8.9,311430
甜蜜蜜,123,8.8,354507
驯龙高手,124,8.7,522977
萤火之森,125,8.9,331198
恐怖直播,126,8.8,427675
菊次郎的夏天,127,8.8,347231
幸福终点站,128,8.8,369708
超能陆战队,129,8.7,675340
无人知晓,130,9.1,178953
爱在日落黄昏时,131,8.8,342160
借东西的小人阿莉埃蒂,132,8.8,367781
神偷奶爸,133,8.6,677090
怪兽电力公司,134,8.7,439518
完美的世界,135,9.1,166915
玩具总动员3,136,8.8,341228
风之谷,137,8.9,273309
血战钢锯岭,138,8.7,558306
上帝之城,139,8.9,223448
傲慢与偏见,140,8.6,517456
时空恋旅人,141,8.7,372683
电锯惊魂,142,8.7,343114
教父3,143,8.9,234983
喜宴,144,8.9,231361
功夫,145,8.5,629832
谍影重重3,146,8.8,298283
岁月神偷,147,8.7,443780
英雄本色,148,8.7,339610
被解救的姜戈,149,8.7,422321
七武士,150,9.2,128386
天书奇谭,151,9.2,134241
疯狂原始人,152,8.7,599451
哪吒闹海,153,9.1,165836
我是山姆,154,8.9,201598
心迷宫,155,8.7,334283
三块广告牌,156,8.7,585432
萤火虫之墓,157,8.7,310704
纵横四海,158,8.8,275225
真爱至上,159,8.6,506300
人生果实,160,9.5,81308
达拉斯买家俱乐部,161,8.8,311745
头号玩家,162,8.7,977851
东邪西毒,163,8.6,419705
荒蛮故事,164,8.8,281858
爆裂鼓手,165,8.7,382044
记忆碎片,166,8.6,426482
贫民窟的百万富翁,167,8.6,551623
黑天鹅,168,8.6,617753
釜山行,169,8.5,757233
花样年华,170,8.6,390789
你的名字。,171,8.4,936899
卢旺达饭店,172,8.9,197188
忠犬八公物语,173,9.2,125007
头脑特工队,174,8.7,402284
模仿游戏,175,8.7,416678
黑客帝国3：矩阵革命,176,8.7,282848
雨人,177,8.7,300453
一个叫欧维的男人决定去死,178,8.8,246131
你看起来好像很好吃,179,8.9,237973
无敌破坏王,180,8.7,365994
未麻的部屋,181,8.9,178965
哈利·波特与阿兹卡班的囚徒,182,8.6,365438
恋恋笔记本,183,8.5,453981
冰川时代,184,8.6,440669
海街日记,185,8.8,264607
海边的曼彻斯特,186,8.6,341458
哈利·波特与密室,187,8.6,384453
新世界,188,8.8,215401
二十二,189,8.7,205104
虎口脱险,190,8.9,163376
房间,191,8.8,273564
恐怖游轮,192,8.5,543516
雨中曲,193,9.0,142901
人工智能,194,8.6,302938
魔女宅急便,195,8.6,322959
惊魂记,196,9.0,155716
奇迹男孩,197,8.6,398085
疯狂的石头,198,8.4,549905
海洋,199,9.1,127101
罗生门,200,8.8,209662
燃情岁月,201,8.8,208635
终结者2：审判日,202,8.7,242850
魂断蓝桥,203,8.8,191145
爱在午夜降临前,204,8.8,213157
穿越时空的少女,205,8.6,286039
初恋这件小事,206,8.4,736441
可可西里,207,8.8,201265
小偷家族,208,8.7,557661
绿里奇迹,209,8.8,182672
2001太空漫游,210,8.8,190700
完美陌生人,211,8.5,388073
牯岭街少年杀人事件,212,8.8,176035
无耻混蛋,213,8.6,341963
阿飞正传,214,8.5,343235
香水,215,8.5,407986
新龙门客栈,216,8.6,305800
源代码,217,8.4,587278
谍影重重2,218,8.6,252081
城市之光,219,9.3,83281
谍影重重,220,8.6,301423
猜火车,221,8.5,332540
青蛇,222,8.5,351886
战争之王,223,8.6,254309
地球上的星星,224,8.9,143325
血钻,225,8.6,242406
朗读者,226,8.6,361955
浪潮,227,8.7,196794
色，戒,228,8.4,458350
彗星来的那一夜,229,8.5,342137
遗愿清单,230,8.6,248879
疯狂的麦克斯4：狂暴之路,231,8.6,353823
大佛普拉斯,232,8.7,255560
步履不停,233,8.8,171569
小萝莉的猴神大叔,234,8.4,337241
再次出发之纽约遇见你,235,8.5,289627
聚焦,236,8.8,201462
追随,237,8.9,126449
东京物语,238,9.2,86909
驴得水,239,8.3,632841
一次别离,240,8.7,190502
黑鹰坠落,241,8.7,201190
千钧一发,242,8.8,163441
我爱你,243,9.0,103871
发条橙,244,8.5,272322
四个春天,245,8.9,111985
网络谜踪,246,8.6,364625
E.T. 外星人,247,8.6,248786
撞车,248,8.6,244184
变脸,249,8.5,309881
梦之安魂曲,250,8.7,160012
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1944072
霸王别姬,2,9.6,1432756
阿甘正传,3,9.5,1476056
这个杀手不太冷,4,9.4,1670761
美丽人生,5,9.5,933292
泰坦尼克号,6,9.4,1422448
千与千寻,7,9.3,1520360
辛德勒的名单,8,9.5,753593
盗梦空间,9,9.3,1418141
忠犬八公的故事,10,9.4,978221
海上钢琴师,11,9.3,1179645
机器人总动员,12,9.3,935738
三傻大闹宝莱坞,13,9.2,1306858
楚门的世界,14,9.3,1042239
放牛班的春天,15,9.3,909791
星际穿越,16,9.3,1051097
大话西游之大圣娶亲,17,9.2,1028779
熔炉,18,9.3,631397
疯狂动物城,19,9.2,1221673
无间道,20,9.2,838626
龙猫,21,9.2,876747
教父,22,9.3,641822
当幸福来敲门,23,9.1,1047155
怦然心动,24,9.1,1210507
触不可及,25,9.2,684124
蝙蝠侠：黑暗骑士,26,9.2,705205
控方证人,27,9.6,266275
活着,28,9.2,544417
乱世佳人,29,9.3,467836
寻梦环游记,30,9.1,1017442
末代皇帝,31,9.2,482818
摔跤吧！爸爸,32,9.0,1064601
少年派的奇幻漂流,33,9.1,995037
指环王3：王者无敌,34,9.2,515450
飞屋环游记,35,9.0,923080
何以为家,36,9.1,605845
十二怒汉,37,9.4,310778
鬼子来了,38,9.2,426844
天空之城,39,9.1,586244
大话西游之月光宝盒,40,9.0,826818
哈尔的移动城堡,41,9.0,670463
天堂电影院,42,9.2,464842
素媛,43,9.2,418602
罗马假日,44,9.0,676294
闻香识女人,45,9.1,587072
辩护人,46,9.2,418295
搏击俱乐部,47,9.0,614787
哈利·波特与魔法石,48,9.0,621046
死亡诗社,49,9.1,481374
我不是药神,50,9.0,1434732
教父2,51,9.2,353853
窃听风暴,52,9.1,396512
狮子王,53,9.0,545015
指环王2：双塔奇兵,54,9.1,472237
大闹天宫,55,9.3,256165
指环王1：魔戒再现,56,9.0,530922
两杆大烟枪,57,9.1,420755
美丽心灵,58,9.0,521824
飞越疯人院,59,9.1,419822
饮食男女,60,9.1,386958
V字仇杀队,61,8.9,737100
黑客帝国,62,9.0,531253
猫鼠游戏,63,9.0,534178
钢琴家,64,9.1,349629
本杰明·巴顿奇事,65,8.9,682302
看不见的客人,66,8.8,791719
让子弹飞,67,8.8,1108458
西西里的美丽传说,68,8.9,668067
海豚湾,69,9.3,277609
小鞋子,70,9.2,271540
拯救大兵瑞恩,71,9.0,440744
情书,72,8.9,627937
音乐之声,73,9.0,407977
美国往事,74,9.2,290386
穿条纹睡衣的男孩,75,9.1,333866
致命魔术,76,8.9,583436
绿皮书,77,8.9,1015572
七宗罪,78,8.8,680683
低俗小说,79,8.8,579864
沉默的羔羊,80,8.8,576995
蝴蝶效应,81,8.8,641808
被嫌弃的松子的一生,82,8.9,519033
海蒂和爷爷,83,9.2,235255
春光乍泄,84,8.9,431709
禁闭岛,85,8.8,639491
心灵捕手,86,8.9,478822
布达佩斯大饭店,87,8.8,605736
剪刀手爱德华,88,8.7,779058
阿凡达,89,8.7,921264
勇敢的心,90,8.9,433895
摩登时代,91,9.3,188668
天使爱美丽,92,8.7,747172
加勒比海盗,93,8.7,610155
喜剧之王,94,8.7,636248
致命ID,95,8.8,535935
断背山,96,8.8,517777
杀人回忆,97,8.8,440767
幽灵公主,98,8.9,380683
狩猎,99,9.1,236972
入殓师,100,8.8,440012
阳光灿烂的日子,101,8.8,436974
重庆森林,102,8.7,549149
请以你的名字呼唤我,103,8.9,419804
第六感,104,8.9,376106
哈利·波特与死亡圣器(下),105,8.8,504547
小森林 夏秋篇,106,9.0,281265
7号房的礼物,107,8.9,347909
消失的爱人,108,8.7,618460
红辣椒,109,9.0,262175
玛丽和马克思,110,8.9,322804
爱在黎明破晓前,111,8.8,400500
小森林 冬春篇,112,9.0,247449
侧耳倾听,113,8.9,309790
告白,114,8.7,522697
一一,115,9.0,241011
大鱼,116,8.8,404643
阳光姐妹淘,117,8.8,440441
唐伯虎点秋香,118,8.6,687299
蝙蝠侠：黑暗骑士崛起,119,8.8,492697
射雕英雄传之东成西就,120,8.7,450671
倩女幽魂,121,8.7,486909
超脱,122,8.9,311430
甜蜜蜜,123,8.8,354507
驯龙高手,124,8.7,522977
萤火之森,125,8.9,331198
恐怖直播,126,8.8,427675
菊次郎的夏天,127,8.8,347231
幸福终点站,128,8.8,369708
超能陆战队,129,8.7,675340
无人知晓,130,9.1,178953
爱在日落黄昏时,131,8.8,342160
借东西的小人阿莉埃蒂,132,8.8,367781
神偷奶爸,133,8.6,677090
怪兽电力公司,134,8.7,439518
完美的世界,135,9.1,166915
玩具总动员3,136,8.8,341228
风之谷,137,8.9,273309
血战钢锯岭,138,8.7,558306
上帝之城,139,8.9,223448
傲慢与偏见,140,8.6,517456
时空恋旅人,141,8.7,372683
电锯惊魂,142,8.7,343114
教父3,143,8.9,234983
喜宴,144,8.9,231361
功夫,145,8.5,629832
谍影重重3,146,8.8,298283
岁月神偷,147,8.7,443780
英雄本色,148,8.7,339610
被解救的姜戈,149,8.7,422321
七武士,150,9.2,128386
天书奇谭,151,9.2,134241
疯狂原始人,152,8.7,599451
哪吒闹海,153,9.1,165836
我是山姆,154,8.9,201598
心迷宫,155,8.7,334283
三块广告牌,156,8.7,585432
萤火虫之墓,157,8.7,310704
纵横四海,158,8.8,275225
真爱至上,159,8.6,506300
人生果实,160,9.5,81308
达拉斯买家俱乐部,161,8.8,311745
头号玩家,162,8.7,977851
东邪西毒,163,8.6,419705
荒蛮故事,164,8.8,281858
爆裂鼓手,165,8.7,382044
记忆碎片,166,8.6,426482
贫民窟的百万富翁,167,8.6,551623
黑天鹅,168,8.6,617753
釜山行,169,8.5,757233
花样年华,170,8.6,390789
你的名字。,171,8.4,936899
卢旺达饭店,172,8.9,197188
忠犬八公物语,173,9.2,125007
头脑特工队,174,8.7,402284
模仿游戏,175,8.7,416678
黑客帝国3：矩阵革命,176,8.7,282848
雨人,177,8.7,300453
一个叫欧维的男人决定去死,178,8.8,246131
你看起来好像很好吃,179,8.9,237973
无敌破坏王,180,8.7,365994
未麻的部屋,181,8.9,178965
哈利·波特与阿兹卡班的囚徒,182,8.6,365438
恋恋笔记本,183,8.5,453981
冰川时代,184,8.6,440669
海街日记,185,8.8,264607
海边的曼彻斯特,186,8.6,341458
哈利·波特与密室,187,8.6,384453
新世界,188,8.8,215401
二十二,189,8.7,205104
虎口脱险,190,8.9,163376
房间,191,8.8,273564
恐怖游轮,192,8.5,543516
雨中曲,193,9.0,142901
人工智能,194,8.6,302938
魔女宅急便,195,8.6,322959
惊魂记,196,9.0,155716
奇迹男孩,197,8.6,398085
疯狂的石头,198,8.4,549905
海洋,199,9.1,127101
罗生门,200,8.8,209662
燃情岁月,201,8.8,208635
终结者2：审判日,202,8.7,242850
魂断蓝桥,203,8.8,191145
爱在午夜降临前,204,8.8,213157
穿越时空的少女,205,8.6,286039
初恋这件小事,206,8.4,736441
可可西里,207,8.8,201265
小偷家族,208,8.7,557661
绿里奇迹,209,8.8,182672
2001太空漫游,210,8.8,190700
完美陌生人,211,8.5,388073
牯岭街少年杀人事件,212,8.8,176035
无耻混蛋,213,8.6,341963
阿飞正传,214,8.5,343235
香水,215,8.5,407986
新龙门客栈,216,8.6,305800
源代码,217,8.4,587278
谍影重重2,218,8.6,252081
城市之光,219,9.3,83281
谍影重重,220,8.6,301423
猜火车,221,8.5,332540
青蛇,222,8.5,351886
战争之王,223,8.6,254309
地球上的星星,224,8.9,143325
血钻,225,8.6,242406
朗读者,226,8.6,361955
浪潮,227,8.7,196794
色，戒,228,8.4,458350
彗星来的那一夜,229,8.5,342137
遗愿清单,230,8.6,248879
疯狂的麦克斯4：狂暴之路,231,8.6,353823
大佛普拉斯,232,8.7,255560
步履不停,233,8.8,171569
小萝莉的猴神大叔,234,8.4,337241
再次出发之纽约遇见你,235,8.5,289627
聚焦,236,8.8,201462
追随,237,8.9,126449
东京物语,238,9.2,86909
驴得水,239,8.3,632841
一次别离,240,8.7,190502
黑鹰坠落,241,8.7,201190
千钧一发,242,8.8,163441
我爱你,243,9.0,103871
发条橙,244,8.5,272322
四个春天,245,8.9,111985
网络谜踪,246,8.6,364625
E.T. 外星人,247,8.6,248786
撞车,248,8.6,244184
变脸,249,8.5,309881
梦之安魂曲,250,8.7,160012
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1944072
霸王别姬,2,9.6,1432756
阿甘正传,3,9.5,1476056
这个杀手不太冷,4,9.4,1670761
美丽人生,5,9.5,933292
泰坦尼克号,6,9.4,1422448
千与千寻,7,9.3,1520360
辛德勒的名单,8,9.5,753593
盗梦空间,9,9.3,1418141
忠犬八公的故事,10,9.4,978221
海上钢琴师,11,9.3,1179645
机器人总动员,12,9.3,935738
三傻大闹宝莱坞,13,9.2,1306858
楚门的世界,14,9.3,1042239
放牛班的春天,15,9.3,909791
星际穿越,16,9.3,1051097
大话西游之大圣娶亲,17,9.2,1028779
熔炉,18,9.3,631397
疯狂动物城,19,9.2,1221673
无间道,20,9.2,838626
龙猫,21,9.2,876747
教父,22,9.3,641822
当幸福来敲门,23,9.1,1047155
怦然心动,24,9.1,1210507
触不可及,25,9.2,684124
蝙蝠侠：黑暗骑士,26,9.2,705205
控方证人,27,9.6,266275
活着,28,9.2,544417
乱世佳人,29,9.3,467836
寻梦环游记,30,9.1,1017442
末代皇帝,31,9.2,482818
摔跤吧！爸爸,32,9.0,1064601
少年派的奇幻漂流,33,9.1,995037
指环王3：王者无敌,34,9.2,515450
飞屋环游记,35,9.0,923080
何以为家,36,9.1,605845
十二怒汉,37,9.4,310778
鬼子来了,38,9.2,426844
天空之城,39,9.1,586244
大话西游之月光宝盒,40,9.0,826818
哈尔的移动城堡,41,9.0,670463
天堂电影院,42,9.2,464842
素媛,43,9.2,418602
罗马假日,44,9.0,676294
闻香识女人,45,9.1,587072
辩护人,46,9.2,418295
搏击俱乐部,47,9.0,614787
哈利·波特与魔法石,48,9.0,621046
死亡诗社,49,9.1,481374
